date,akher gur (red sugar)_avg_retail_price,akher gur (red sugar)_avg_wholesale_price,bull (3 years)_avg_retail_price,bull (3 years)_avg_wholesale_price,bull (60 kg meat)_avg_retail_price,bull (60 kg meat)_avg_wholesale_price,chitta gur (red sugar)_avg_retail_price,chitta gur (red sugar)_avg_wholesale_price,cow (2 litre milk)_avg_retail_price,cow (2 litre milk)_avg_wholesale_price,date gur (red sugar)_avg_retail_price,date gur (red sugar)_avg_wholesale_price,firewood - log(doom)_avg_retail_price,firewood - log(doom)_avg_wholesale_price,firewood - mango_avg_retail_price,firewood - mango_avg_wholesale_price,firewood - shal_gozari_avg_retail_price,firewood - shal_gozari_avg_wholesale_price,firewood - shimul_avg_retail_price,firewood - shimul_avg_wholesale_price,firewood - tamarind_wood apple_avg_retail_price,firewood - tamarind_wood apple_avg_wholesale_price,garlic (local) - big size_avg_retail_price,garlic (local) - big size_avg_wholesale_price,goat (female - 6 kg meat)_avg_retail_price,goat (female - 6 kg meat)_avg_wholesale_price,goat (male - 6 kg meat)_avg_retail_price,goat (male - 6 kg meat)_avg_wholesale_price,gold (gini)_avg_retail_price,gold (gini)_avg_wholesale_price,gold-tejab_avg_retail_price,gold-tejab_avg_wholesale_price,goor_avg_retail_price,goor_avg_wholesale_price,gram-husk_avg_retail_price,gram-husk_avg_wholesale_price,iodized salt (loose) - ordinary_avg_retail_price,iodized salt (loose) - ordinary_avg_wholesale_price,iodized salt (packed)_avg_retail_price,iodized salt (packed)_avg_wholesale_price,kharh (paddy straw)_avg_retail_price,kharh (paddy straw)_avg_wholesale_price,khesari-husk_avg_retail_price,khesari-husk_avg_wholesale_price,masur-husk_avg_retail_price,masur-husk_avg_wholesale_price,paddy-husk_avg_retail_price,paddy-husk_avg_wholesale_price,ram (6 kg meat)_sheep_avg_retail_price,ram (6 kg meat)_sheep_avg_wholesale_price,silver_avg_retail_price,silver_avg_wholesale_price,sugar (imported)_avg_retail_price,sugar (imported)_avg_wholesale_price,sugar (local)_avg_retail_price,sugar (local)_avg_wholesale_price,sugar (o.m.s._t.c.b.)_avg_retail_price,sugar (o.m.s._t.c.b.)_avg_wholesale_price,wheat-husk_avg_retail_price,wheat-husk_avg_wholesale_price
2013-01-13,67.5,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,2500.0,,,,,,,,,,,,,49.0,4520.0,,,,,,
2013-01-14,67.5,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,2500.0,,,,,,,,,,,,,49.0,4510.0,,,,,,
2013-01-15,67.5,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,2500.0,,,,,,,,,,,,,49.0,4510.0,,,,,,
2013-01-16,59.5,5733.0,32500.0,41500.0,29250.0,15000.0,85.0,,32500.0,27000.0,70.5,6067.0,,,6.0,508.0,14.5,,,,5.5,600.0,,,1950.0,1950.0,2350.0,1650.0,49521.5,55447.0,50020.0,57160.0,,,34.0,3192.0,15.0,1194.0,25.5,2867.0,8.0,575.0,35.5,3179.0,27.0,2562.0,9.5,709.0,1950.0,,1264.0,1387.0,48.0,4578.0,49.5,4690.0,49.5,4800.0,28.0,2598.0
2013-01-17,67.5,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,2500.0,,,,,,,,,,,,,49.0,4510.0,,,,,,
2013-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-20,67.5,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,2500.0,,,,,,,,,,,,,49.0,4500.0,,,,,,
2013-01-21,67.5,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,2500.0,,,,,,,,,,,,,49.0,4500.0,,,,,,
2013-01-22,67.5,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,2500.0,,,,,,,,,,,,,49.0,4500.0,,,,,,
2013-01-23,59.5,5733.0,32500.0,41500.0,29250.0,15000.0,85.0,,32500.0,27000.0,68.5,6067.0,,,6.5,520.0,14.5,,,,6.0,650.0,,,1950.0,1950.0,2350.0,1650.0,48747.5,54442.0,49740.0,57000.0,,,34.5,3208.0,15.0,1180.0,25.0,2814.0,8.0,575.0,36.0,3242.0,27.0,2512.0,10.0,707.0,1950.0,,1244.5,1408.0,48.0,4591.0,49.5,4716.0,,,27.0,2608.0
2013-01-24,67.5,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,2500.0,,,,,,,,,,,,,49.0,4500.0,,,,,,
2013-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-27,67.5,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,2500.0,,,,,,,,,,,,,48.0,4500.0,,,,,,
2013-01-28,67.5,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,2500.0,,,,,,,,,,,,,49.0,4520.0,,,,,,
2013-01-29,67.5,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,2500.0,,,,,,,,,,,,,49.0,4470.0,,,,,,
2013-01-30,57.5,5450.0,32500.0,41500.0,29250.0,15000.0,85.0,,32500.0,27000.0,68.0,5950.0,,,6.0,523.0,14.5,,,,5.0,573.0,,,1950.0,1950.0,2350.0,1650.0,47662.5,54196.0,49740.0,57000.0,,,34.5,3142.0,14.5,1192.0,25.5,2825.0,8.0,575.0,35.0,3121.0,26.5,2450.0,10.0,711.0,1950.0,,1197.0,1377.0,48.0,4601.0,49.5,4697.0,,,27.0,2576.0
2013-01-31,67.5,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,2500.0,,,,,,,,,,,,,49.0,4480.0,,,,,,
2013-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-04,65.0,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,2500.0,,,,,,,,,,,,,49.0,4480.0,,,,,,
2013-02-05,65.0,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,2500.0,,,,,,,,,,,,,49.0,4480.0,,,,,,
2013-02-06,55.0,5300.0,32500.0,41500.0,29250.0,15000.0,85.0,,32500.0,27000.0,69.0,6620.0,,,6.0,508.0,14.5,,,,5.0,573.0,,,1950.0,1950.0,2350.0,1650.0,47539.5,54604.0,49740.0,57000.0,,,34.0,3270.0,15.0,1236.0,25.5,2836.0,8.0,513.0,33.5,3192.0,27.0,2503.0,9.5,708.0,1950.0,,1203.0,1380.0,48.0,4582.0,49.5,4699.0,,,27.5,2560.0
2013-02-07,65.0,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,2500.0,,,,,,,,,,,,,48.5,4480.0,,,,,,
2013-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-10,65.0,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,2500.0,,,,,,,,,,,,,48.5,4480.0,,,,,,
2013-02-11,65.0,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,2500.0,,,,,,,,,,,,,48.5,4460.0,,,,,,
2013-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-13,54.5,5256.0,32500.0,40500.0,29250.0,15000.0,85.0,,36500.0,25000.0,67.5,6550.0,,,6.0,503.0,14.5,,,,6.0,600.0,,,1950.0,1900.0,2350.0,1700.0,47346.0,53233.0,49740.0,55500.0,,,34.0,3350.0,15.0,1214.0,25.5,2769.0,8.0,513.0,34.5,3208.0,27.5,2384.0,10.5,708.0,1950.0,,1224.5,1353.0,47.5,4592.0,49.5,4685.0,,,27.5,2537.0
2013-02-14,65.0,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,2500.0,,,,,,,,,,,,,48.0,4450.0,,,,,,
2013-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-18,65.0,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,2500.0,,,,,,,,,,,,,48.5,4420.0,,,,,,
2013-02-19,65.0,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,2400.0,,,,,,,,,,,,,48.5,4440.0,,,,,,
2013-02-20,58.0,5350.0,32500.0,40500.0,29250.0,15000.0,33.0,,36500.0,25000.0,72.0,5650.0,,,6.5,507.0,14.5,,,,6.0,555.0,,,1950.0,1900.0,2350.0,1700.0,47700.5,53913.0,49740.0,55500.0,,,35.5,3363.0,14.0,1136.0,25.0,2715.0,8.0,513.0,37.0,3108.0,25.5,2344.0,11.5,708.0,1950.0,,1172.0,1315.0,47.5,4576.0,49.5,4701.0,,,26.0,2503.0
2013-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-24,65.0,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,2400.0,,,,,,,,,,,,,48.5,4440.0,,,,,,
2013-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-26,65.0,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,2400.0,,,,,,,,,,,,,48.5,4380.0,,,,,,
2013-02-27,57.0,5388.0,40000.0,40500.0,43000.0,15000.0,33.0,,38000.0,25000.0,73.5,5967.0,,,6.5,513.0,14.5,,,,6.0,555.0,,,,1900.0,,1700.0,47793.0,54379.0,49740.0,55500.0,,,35.0,3425.0,14.0,1120.0,25.5,2709.0,9.0,725.0,37.0,3100.0,27.0,2380.0,12.5,751.0,,,1198.5,1331.0,48.0,4600.0,49.5,4738.0,,,27.5,2573.0
2013-02-28,65.0,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,2600.0,,,,,,,,,,,,,47.0,4350.0,46.5,4430.0,,,,
2013-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-03,65.0,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,2400.0,,,,,,,,,,,,,48.5,4380.0,,,,,,
2013-03-04,65.0,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,2400.0,,,,,,,,,,,,,48.5,4380.0,,,,,,
2013-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-06,56.5,5267.0,32500.0,40500.0,29250.0,15000.0,33.0,,36500.0,25000.0,73.0,6220.0,,,6.0,537.0,14.5,,,,7.0,607.0,,,1950.0,1900.0,2350.0,1700.0,48067.0,53922.0,49740.0,55500.0,,,34.5,3363.0,14.0,1171.0,25.5,2731.0,8.0,513.0,35.5,3250.0,25.5,2344.0,10.5,692.0,1950.0,,1197.5,1336.0,47.5,4565.0,49.5,4726.0,,,27.0,2568.0
2013-03-07,65.0,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,48.5,,,,,,,
2013-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-12,65.0,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,48.5,,,,,,,
2013-03-13,54.0,5110.0,32500.0,40500.0,29250.0,15000.0,33.0,,36500.0,25000.0,72.5,6100.0,,,6.5,535.0,14.5,,,,7.0,607.0,,,1950.0,1900.0,2350.0,1700.0,47665.5,54104.0,49740.0,55500.0,,,34.0,3350.0,14.0,1171.0,25.5,2738.0,8.0,513.0,35.0,3208.0,27.0,2353.0,11.0,690.0,1950.0,,1197.5,1336.0,47.5,4522.0,49.5,4697.0,,,28.0,2448.0
2013-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-19,65.0,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,48.5,,,,,,,
2013-03-20,54.5,4913.0,32500.0,40500.0,29250.0,15000.0,33.0,,36500.0,25000.0,73.0,6125.0,,,6.5,533.0,14.5,,,,7.0,607.0,,,1950.0,1900.0,2350.0,1700.0,46289.0,52788.0,48880.0,55000.0,,,37.0,3638.0,14.0,1171.0,25.0,2709.0,8.0,513.0,34.0,3150.0,25.0,2284.0,11.0,700.0,1950.0,,1135.5,1290.0,47.5,4525.0,49.5,4742.0,,,27.0,2416.0
2013-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-27,51.0,4657.0,32500.0,40500.0,29250.0,15000.0,33.0,,36500.0,25000.0,71.5,6125.0,,,6.5,531.0,14.5,,,,7.0,607.0,,,1950.0,1900.0,2350.0,1700.0,46526.5,53604.0,48880.0,55000.0,,,36.0,3570.0,14.0,1171.0,25.5,2790.0,8.0,513.0,33.5,3125.0,26.5,2303.0,11.0,757.0,1950.0,,1113.0,1259.0,47.5,4581.0,49.0,4759.0,,,28.0,2510.0
2013-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-03,52.0,4822.0,32500.0,40500.0,29250.0,15000.0,33.0,,36500.0,25000.0,71.5,6125.0,,,6.5,535.0,14.5,,,,7.0,607.0,,,1950.0,1900.0,2350.0,1700.0,46419.5,52871.0,47600.0,54250.0,,,37.0,3570.0,14.0,1171.0,25.5,2780.0,8.0,513.0,34.0,3125.0,25.0,2303.0,11.0,713.0,1950.0,,1126.0,1264.0,47.0,4588.0,49.0,4726.0,,,27.5,2387.0
2013-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-07,65.0,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,2000.0,,,,,,,,,,,,,47.5,4330.0,,,,,,
2013-04-08,65.0,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,,,,,,,,,,,,,,46.5,,,,,,,
2013-04-09,65.0,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,,,,,,,,,,,,,,46.5,,,,,,,
2013-04-10,55.5,4850.0,32500.0,40500.0,29250.0,15000.0,33.0,,36500.0,25000.0,73.5,6767.0,,,6.5,541.0,14.5,,,,7.0,607.0,,,1950.0,1900.0,2350.0,1700.0,46634.5,52388.0,47600.0,54250.0,,,37.0,3638.0,14.0,1136.0,25.0,2711.0,8.0,513.0,33.5,3150.0,25.0,2284.0,11.0,713.0,1950.0,,1126.0,1264.0,47.0,4543.0,49.0,4724.0,,,27.0,2416.0
2013-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-17,54.0,4870.0,32500.0,40500.0,29250.0,15000.0,33.0,,36500.0,25000.0,76.0,6900.0,,,6.5,537.0,14.5,,,,7.0,607.0,,,1950.0,1900.0,2350.0,1700.0,46410.0,52174.0,47170.0,54000.0,,,36.5,3550.0,15.0,1136.0,25.0,2727.0,8.0,550.0,33.5,3108.0,24.0,2270.0,10.5,700.0,1950.0,,1153.5,1273.0,47.5,4550.0,48.5,4706.0,,,27.5,2463.0
2013-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-21,65.0,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,2000.0,,,,,,,,,,,,,47.0,4340.0,,,,,,
2013-04-22,65.0,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,2000.0,,,,,,,,,,,,,47.0,4340.0,,,,,,
2013-04-23,65.0,,,,,,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,,,,,,,,,,,,,,47.0,,,,,,,
2013-04-24,55.0,4860.0,32500.0,40500.0,29250.0,15000.0,33.0,,36500.0,25000.0,79.5,7100.0,,,6.5,551.0,,,,,7.0,607.0,,,1950.0,1950.0,2350.0,1800.0,43205.5,51074.0,47170.0,54000.0,,,36.5,3264.0,14.5,1107.0,24.0,2709.0,8.0,550.0,32.5,2986.0,26.0,2170.0,10.5,700.0,1950.0,,1086.0,1273.0,47.0,4502.0,48.5,4706.0,,,28.0,2470.0
2013-04-25,65.0,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,2100.0,,,,,,,,,,,,,47.0,4350.0,,,,,,
2013-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-28,65.0,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,2100.0,,,,,,,,,,,,,47.0,4350.0,,,,,,
2013-04-29,65.0,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,2100.0,,,,,,,,,,,,,47.0,4350.0,,,,,,
2013-04-30,65.0,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,2100.0,,,,,,,,,,,,,47.0,4340.0,,,,,,
