date,black cumin (seed)(kalozira)_avg_retail_price,black cumin (seed)(kalozira)_avg_wholesale_price,black pepper(golmorich)_avg_retail_price,black pepper(golmorich)_avg_wholesale_price,cardamom - big_avg_retail_price,cardamom - big_avg_wholesale_price,cardamom - small_avg_retail_price,cardamom - small_avg_wholesale_price,cinnamon(daruchini)_avg_retail_price,cinnamon(daruchini)_avg_wholesale_price,clove(lobonga)_avg_retail_price,clove(lobonga)_avg_wholesale_price,coriander seed (new)_avg_retail_price,coriander seed (new)_avg_wholesale_price,coriander seed (old)_avg_retail_price,coriander seed (old)_avg_wholesale_price,cumin (seed)_avg_retail_price,cumin (seed)_avg_wholesale_price,dried chili (barisal_raypur_chandpur) - ordinary_avg_retail_price,dried chili (barisal_raypur_chandpur) - ordinary_avg_wholesale_price,dried chili (barisal_raypur_chandpur) - superior_avg_retail_price,dried chili (barisal_raypur_chandpur) - superior_avg_wholesale_price,dried chili (battakandi) - ordinary_avg_retail_price,dried chili (battakandi) - ordinary_avg_wholesale_price,dried chili (battakandi) - superior_avg_retail_price,dried chili (battakandi) - superior_avg_wholesale_price,dried chili (bogra_rangpur) - ordinary_avg_retail_price,dried chili (bogra_rangpur) - ordinary_avg_wholesale_price,dried chili (bogra_rangpur) - superior_avg_retail_price,dried chili (bogra_rangpur) - superior_avg_wholesale_price,dried chili (chittagong) - ordinary_avg_retail_price,dried chili (chittagong) - ordinary_avg_wholesale_price,dried chili (chittagong) - superior_avg_retail_price,dried chili (chittagong) - superior_avg_wholesale_price,dried chili (imported) - ordinary_avg_retail_price,dried chili (imported) - ordinary_avg_wholesale_price,dried chili (local) - ordinary_avg_retail_price,dried chili (local) - ordinary_avg_wholesale_price,dried chili (local) - superior_avg_retail_price,dried chili (local) - superior_avg_wholesale_price,dry chilli_avg_retail_price,dry chilli_avg_wholesale_price,fennel_aniseed_avg_retail_price,fennel_aniseed_avg_wholesale_price,fenugreek(methi)_avg_retail_price,fenugreek(methi)_avg_wholesale_price,garlic (imported)_avg_retail_price,garlic (imported)_avg_wholesale_price,garlic (local) - big size_avg_retail_price,garlic (local) - big size_avg_wholesale_price,garlic - one piece_avg_retail_price,garlic - one piece_avg_wholesale_price,ginger (imported)_avg_retail_price,ginger (imported)_avg_wholesale_price,ginger (local) - new_avg_retail_price,ginger (local) - new_avg_wholesale_price,ginger (local) - old_avg_retail_price,ginger (local) - old_avg_wholesale_price,green chili (local)_avg_retail_price,green chili (local)_avg_wholesale_price,green chili_avg_retail_price,green chili_avg_wholesale_price,khoayr (catechu) - ordinary_avg_retail_price,khoayr (catechu) - ordinary_avg_wholesale_price,khoayr (catechu) - superior quality_avg_retail_price,khoayr (catechu) - superior quality_avg_wholesale_price,onion (local)_avg_retail_price,onion (local)_avg_wholesale_price,onion (new)_avg_retail_price,onion (new)_avg_wholesale_price,onion-imported_avg_retail_price,onion-imported_avg_wholesale_price,turmeric (imported)_avg_retail_price,turmeric (imported)_avg_wholesale_price,turmeric (local) - long (ordinary)_avg_retail_price,turmeric (local) - long (ordinary)_avg_wholesale_price,turmeric (local) - long (superior)_avg_retail_price,turmeric (local) - long (superior)_avg_wholesale_price,turmeric (local) - round (ordinary)_avg_retail_price,turmeric (local) - round (ordinary)_avg_wholesale_price,turmeric (local) - round (superior)_avg_retail_price,turmeric (local) - round (superior)_avg_wholesale_price,zain_avg_retail_price,zain_avg_wholesale_price
2013-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.5,15800.0,135.0,10500.0,,,,,,,,,90.0,7500.0,47.5,2800.0,,,72.5,6200.0,85.0,5800.0,,,80.0,6000.0,,,,,,,33.0,2400.0,,,33.0,2800.0,115.0,7600.0,87.5,7500.0,,,,,,,,
2013-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.5,15800.0,135.0,10500.0,,,,,,,,,85.0,7500.0,47.5,3000.0,,,72.5,6200.0,85.0,6000.0,,,72.5,6000.0,,,,,,,32.0,2400.0,,,34.0,2700.0,112.5,7600.0,85.0,7500.0,,,,,,,,
2013-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.5,15800.0,135.0,10500.0,,,,,,,,,90.0,7200.0,42.5,3000.0,,,72.5,6200.0,80.0,6500.0,,,75.0,6000.0,,,,,,,33.0,2700.0,,,34.0,2800.0,112.5,7600.0,85.0,7500.0,,,,,,,,
2013-01-16,2.0,136.0,9.5,916.0,17.5,1679.0,16.5,1557.0,3.0,223.0,16.5,1662.0,,5400.0,65.0,5588.0,5.0,436.0,153.5,13629.0,160.0,14833.0,171.0,15000.0,175.0,,164.0,15333.0,160.0,12900.0,,,,,173.0,16471.0,148.0,13750.0,200.0,19000.0,,,2.0,159.0,1.5,96.0,91.5,7160.0,40.0,3406.0,32.5,,74.0,6425.0,75.0,6007.0,67.5,5750.0,70.0,6016.0,,,3.5,290.0,5.5,450.0,28.5,2582.0,,,32.0,2937.0,110.0,7600.0,73.5,6115.0,87.5,7283.0,76.0,4850.0,90.5,6100.0,2.5,177.0
2013-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.5,15800.0,130.0,10800.0,,,,,,,,,87.5,7500.0,42.5,2800.0,,,75.0,6500.0,80.0,6000.0,,,80.0,6500.0,,,,,,,33.0,2500.0,,,34.0,2900.0,110.0,9000.0,82.5,7000.0,,,,,,,,
2013-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,15500.0,132.5,12500.0,,,,,,,,,90.0,8500.0,50.0,3500.0,,,85.0,8500.0,80.0,6000.0,,,77.5,6500.0,,,,,,,31.5,2500.0,,,35.0,3200.0,110.0,9000.0,80.0,7000.0,,,,,,,,
2013-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,15500.0,132.5,12500.0,,,,,,,,,90.0,8500.0,52.5,3800.0,,,87.5,8500.0,80.0,6000.0,,,77.5,6000.0,,,,,,,31.5,2300.0,,,34.5,3200.0,110.0,9000.0,80.0,7000.0,,,,,,,,
2013-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,15500.0,132.5,12500.0,,,,,,,,,100.0,8200.0,52.5,3800.0,,,92.5,8000.0,80.0,6000.0,,,75.0,5800.0,,,,,,,31.5,2300.0,,,34.5,3000.0,110.0,9000.0,80.0,7000.0,,,,,,,,
2013-01-23,2.0,134.0,10.0,920.0,17.5,1669.0,16.5,1521.0,3.0,223.0,17.5,1631.0,,5200.0,62.0,5575.0,5.0,431.0,153.5,13417.0,171.5,15500.0,173.5,15000.0,175.0,,169.5,16500.0,145.0,12900.0,,,,,175.0,16429.0,150.5,13900.0,200.0,20000.0,,,2.0,158.0,1.0,95.0,100.0,9150.0,50.0,4320.0,32.5,3600.0,80.5,7120.0,78.5,6292.0,67.5,5750.0,75.0,6344.0,,,3.5,290.0,5.5,450.0,26.5,2380.0,,,31.0,2890.0,110.0,9000.0,65.5,6267.0,78.5,6836.0,68.5,4575.0,70.0,5650.0,2.0,180.0
2013-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.5,15000.0,132.5,12500.0,,,,,,,,,102.5,9700.0,65.0,4000.0,,,97.5,8000.0,80.0,6000.0,,,75.0,5600.0,,,,,,,30.5,2400.0,,,32.5,3000.0,110.0,9000.0,80.0,7500.0,,,,,,,,
2013-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.5,15000.0,132.5,12500.0,,,,,,,,,112.5,10000.0,65.0,4000.0,,,105.0,8500.0,80.0,6000.0,,,80.0,5000.0,,,,,,,31.0,2200.0,,,34.0,3000.0,120.0,9000.0,90.0,7500.0,,,,,,,,
2013-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.5,15000.0,132.5,12500.0,,,,,,,,,112.5,98000.0,65.0,4200.0,,,107.5,9000.0,90.0,6200.0,,,75.0,6000.0,,,,,,,31.0,2400.0,,,35.5,3100.0,120.0,9000.0,90.0,7500.0,,,,,,,,
2013-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,15000.0,132.5,12500.0,,,,,,,,,112.5,10000.0,65.0,4200.0,,,115.0,9000.0,105.0,7000.0,,,75.0,5500.0,,,,,,,32.5,2800.0,,,38.0,3200.0,120.0,9000.0,100.0,7500.0,,,,,,,,
2013-01-30,2.0,130.0,13.5,926.0,24.5,1660.0,22.0,1507.0,3.5,223.0,22.5,1614.0,,5200.0,61.5,5600.0,5.0,422.0,156.5,13750.0,171.5,16500.0,171.0,15000.0,175.0,,170.5,15333.0,140.0,13600.0,,,,,178.0,16743.0,158.5,14417.0,200.0,20000.0,,,2.5,156.0,2.0,94.0,106.5,9817.0,52.5,4500.0,32.5,,84.0,7169.0,78.0,6462.0,72.5,6500.0,74.0,6461.0,,,3.5,290.0,5.5,450.0,29.5,2594.0,,,33.0,3044.0,120.0,9000.0,72.0,6446.0,81.5,7150.0,69.5,4825.0,82.5,5650.0,3.0,175.0
2013-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,15200.0,132.5,12500.0,,,,,,,,,115.0,10000.0,65.0,4500.0,,,110.0,8600.0,105.0,6800.0,,,75.0,6000.0,,,,,,,34.5,3000.0,,,39.0,3600.0,120.0,9000.0,100.0,7500.0,,,,,,,,
2013-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,15500.0,132.5,13500.0,,,,,,,,,115.0,10000.0,62.5,4500.0,,,107.5,8600.0,100.0,6800.0,,,75.0,5600.0,,,,,,,37.5,3000.0,,,47.5,4000.0,120.0,9000.0,100.0,7500.0,,,,,,,,
2013-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,15500.0,132.5,13500.0,,,,,,,,,115.0,10500.0,62.5,4000.0,,,105.0,8600.0,95.0,6800.0,,,72.5,5200.0,,,,,,,36.5,2800.0,,,47.5,4000.0,120.0,9000.0,100.0,7500.0,,,,,,,,
2013-02-06,2.0,134.0,13.5,928.0,24.5,1677.0,21.5,1538.0,3.5,228.0,22.5,1643.0,,5400.0,61.5,5600.0,6.5,426.0,159.5,11610.0,171.5,16500.0,182.5,15000.0,175.0,,171.5,15000.0,150.0,14500.0,,,,,179.0,17000.0,156.5,14333.0,200.0,20000.0,,,2.5,158.0,2.0,95.0,111.0,10283.0,54.5,4773.0,47.5,,83.0,6989.0,76.0,6318.0,73.0,7125.0,76.0,6644.0,,,3.5,290.0,5.5,450.0,31.5,2927.0,,,42.0,3650.0,120.0,11000.0,70.5,6608.0,82.0,7250.0,71.5,5167.0,70.0,6800.0,3.0,176.0
2013-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,16000.0,132.5,14000.0,,,,,,,,,115.0,10200.0,62.5,4000.0,,,97.5,7400.0,95.0,6000.0,,,70.0,5500.0,,,,,,,33.0,3000.0,,,44.0,3600.0,120.0,11000.0,100.0,9000.0,,,,,,,,
2013-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,15500.0,132.5,14000.0,,,,,,,,,117.5,10800.0,62.5,4000.0,,,97.5,7200.0,107.5,5500.0,,,70.0,6000.0,,,,,,,44.0,3400.0,,,51.5,4500.0,120.0,11000.0,100.0,7500.0,,,,,,,,
2013-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.0,15500.0,145.0,14000.0,,,,,,,,,117.5,10800.0,62.5,4000.0,,,85.0,7000.0,95.0,5200.0,,,70.0,5400.0,,,,,,,41.5,3000.0,,,49.0,4100.0,120.0,11000.0,100.0,7500.0,,,,,,,,
2013-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-13,2.0,139.0,10.0,922.0,16.5,1725.0,16.0,1554.0,3.0,226.0,17.5,1646.0,,5400.0,62.5,5686.0,5.0,425.0,159.0,14083.0,169.0,16500.0,181.5,16000.0,175.0,18000.0,192.5,17333.0,145.0,14000.0,,,,,183.0,17167.0,161.5,14400.0,200.0,20000.0,,,2.0,158.0,1.0,97.0,116.0,10580.0,56.0,5020.0,47.5,,85.5,7133.0,79.0,6700.0,75.5,6650.0,74.5,6544.0,,,3.5,323.0,5.5,450.0,34.0,3127.0,,,46.5,4250.0,,,67.0,6308.0,83.0,7145.0,71.5,5400.0,62.5,6800.0,2.0,163.0
2013-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.0,15500.0,150.0,15000.0,,,,,,,,,117.5,10800.0,60.0,4000.0,,,90.0,6400.0,90.0,5000.0,,,70.0,6000.0,,,,,,,37.0,3200.0,,,44.0,3800.0,125.0,11000.0,110.0,9500.0,,,,,,,,
2013-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.0,15500.0,160.0,15000.0,,,,,,,,,120.0,10600.0,65.0,4000.0,,,90.0,6000.0,80.0,5000.0,,,85.0,7400.0,,,,,,,37.5,3200.0,,,42.0,3300.0,125.0,11000.0,110.0,9500.0,,,,,,,,
2013-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.0,15500.0,160.0,15000.0,,,,,,,,,120.0,11000.0,65.0,4500.0,,,85.0,7000.0,85.0,5000.0,,,85.0,7000.0,,,,,,,37.5,3200.0,,,42.0,3500.0,130.0,11000.0,115.0,9500.0,,,,,,,,
2013-02-20,2.0,132.0,12.0,1084.0,16.5,1710.0,16.0,1546.0,3.0,225.0,17.5,1638.0,,,59.0,5350.0,5.5,422.0,167.0,14750.0,169.0,16500.0,182.5,15667.0,175.0,17000.0,176.5,17000.0,157.5,15500.0,,,,,182.0,16750.0,166.5,14900.0,200.0,20000.0,,,2.0,151.0,1.0,95.0,120.5,10620.0,57.5,5233.0,47.5,,80.5,11667.0,79.5,6900.0,79.0,6675.0,85.0,7700.0,,,3.5,323.0,5.5,450.0,35.0,3200.0,,,38.5,3560.0,130.0,11000.0,72.0,6575.0,80.5,6930.0,73.0,5400.0,62.5,6800.0,2.0,157.0
2013-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.0,15500.0,160.0,15000.0,,,,,,,,,120.0,10700.0,62.5,4500.0,,,82.5,7000.0,85.0,5000.0,,,80.0,7000.0,,,,,,,35.0,3200.0,,,39.0,3400.0,130.0,11000.0,115.0,9500.0,,,,,,,,
2013-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.0,15500.0,160.0,15000.0,,,,,,,,,117.5,10700.0,60.0,4500.0,,,80.0,6800.0,95.0,5500.0,,,85.0,6500.0,,,,,,,35.0,2800.0,,,36.5,3200.0,135.0,11000.0,125.0,9500.0,,,,,,,,
2013-02-27,2.0,142.0,12.5,1100.0,16.5,1690.0,16.5,1573.0,2.5,225.0,17.5,1677.0,,,62.5,5650.0,5.5,441.0,161.0,14200.0,170.0,16500.0,184.5,15000.0,,,172.5,17333.0,170.0,17000.0,,,,,184.0,16500.0,165.0,14750.0,200.0,20000.0,,,2.0,157.0,1.0,99.0,113.0,10200.0,59.0,5669.0,72.5,,80.5,6214.0,78.5,6888.0,81.5,7250.0,81.5,7257.0,,,3.5,323.0,5.5,425.0,31.0,2923.0,,,35.5,3125.0,130.0,10000.0,76.0,7150.0,84.0,7525.0,75.5,5500.0,62.5,6800.0,2.0,171.0
2013-02-28,1.0,82.0,8.5,780.0,18.5,1300.0,16.5,1400.0,3.0,220.0,18.5,1300.0,,,,,4.0,320.0,,,,,,,,,,15000.0,,,,,,,170.0,15000.0,167.5,14000.0,,,,,2.0,150.0,1.5,76.0,82.5,10800.0,55.5,4850.0,,,74.0,5550.0,75.0,4800.0,,,78.0,6750.0,,,,,,,30.5,2500.0,,,28.5,2600.0,130.0,10000.0,91.5,9500.0,,,,5500.0,,,,
2013-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.0,15000.0,160.0,14000.0,,,,,,,,,117.5,10800.0,60.0,5500.0,,,80.0,5500.0,75.0,4800.0,,,85.0,6500.0,,,,,,,33.0,2400.0,,,36.0,2900.0,130.0,10000.0,120.0,9500.0,,,,,,,,
2013-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.0,15000.0,160.0,14000.0,,,,,,,,,117.5,11000.0,60.0,5000.0,,,80.0,5600.0,80.0,4800.0,,,75.0,5600.0,,,,,,,33.0,2600.0,,,36.0,3200.0,130.0,10000.0,120.0,9500.0,,,,,,,,
2013-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
