date,alachi lemon_avg_retail_price,alachi lemon_avg_wholesale_price,amra (hog plum)_avg_retail_price,amra (hog plum)_avg_wholesale_price,apple (india)_avg_retail_price,apple (india)_avg_wholesale_price,apple (pakistan)_avg_retail_price,apple (pakistan)_avg_wholesale_price,apple_avg_retail_price,apple_avg_wholesale_price,banana-chapa_avg_retail_price,banana-chapa_avg_wholesale_price,banana-sabri (high quality)_avg_retail_price,banana-sabri (high quality)_avg_wholesale_price,banana-sabri (ordinary)_avg_retail_price,banana-sabri (ordinary)_avg_wholesale_price,banana-sagar (high quality)_avg_retail_price,banana-sagar (high quality)_avg_wholesale_price,banana-sagar (ordinary)_avg_retail_price,banana-sagar (ordinary)_avg_wholesale_price,bangi (melon)_avg_retail_price,bangi (melon)_avg_wholesale_price,baromasi china-3_avg_retail_price,baromasi china-3_avg_wholesale_price,boroi (jujube_plum)_avg_retail_price,boroi (jujube_plum)_avg_wholesale_price,boroi-kul (imported)_avg_retail_price,boroi-kul (imported)_avg_wholesale_price,cagoji lemon_avg_retail_price,cagoji lemon_avg_wholesale_price,canteloupe_avg_retail_price,canteloupe_avg_wholesale_price,coconut_avg_retail_price,coconut_avg_wholesale_price,grapefruit_avg_retail_price,grapefruit_avg_wholesale_price,grapes_avg_retail_price,grapes_avg_wholesale_price,green-coconut_avg_retail_price,green-coconut_avg_wholesale_price,guava (kazi)_avg_retail_price,guava (kazi)_avg_wholesale_price,guava (thai)_avg_retail_price,guava (thai)_avg_wholesale_price,guava_avg_retail_price,guava_avg_wholesale_price,jackfruit-(small)_avg_retail_price,jackfruit-(small)_avg_wholesale_price,jackfruit-big (above 4 kg)_avg_retail_price,jackfruit-big (above 4 kg)_avg_wholesale_price,kalozam (black berry)_avg_retail_price,kalozam (black berry)_avg_wholesale_price,khejur (date)_avg_retail_price,khejur (date)_avg_wholesale_price,khurma_avg_retail_price,khurma_avg_wholesale_price,lychee (imported)_avg_retail_price,lychee (imported)_avg_wholesale_price,lychee_avg_retail_price,lychee_avg_wholesale_price,malta_avg_retail_price,malta_avg_wholesale_price,mango-amropali_avg_retail_price,mango-amropali_avg_wholesale_price,mango-ashini_avg_retail_price,mango-ashini_avg_wholesale_price,mango-fazli_avg_retail_price,mango-fazli_avg_wholesale_price,mango-gopal bhog_avg_retail_price,mango-gopal bhog_avg_wholesale_price,mango-guti_avg_retail_price,mango-guti_avg_wholesale_price,mango-himsagar_avg_retail_price,mango-himsagar_avg_wholesale_price,mango-langra_avg_retail_price,mango-langra_avg_wholesale_price,olive_avg_retail_price,olive_avg_wholesale_price,orange_avg_retail_price,orange_avg_wholesale_price,pear_avg_retail_price,pear_avg_wholesale_price,pineapple-jaldubi_avg_retail_price,pineapple-jaldubi_avg_wholesale_price,pineapple-kelenga_avg_retail_price,pineapple-kelenga_avg_wholesale_price,pineapple-local_avg_retail_price,pineapple-local_avg_wholesale_price,raisin_avg_retail_price,raisin_avg_wholesale_price,ripe papaya (big)_avg_retail_price,ripe papaya (big)_avg_wholesale_price,ripe papaya (small)_avg_retail_price,ripe papaya (small)_avg_wholesale_price,tamarind  with seed_avg_retail_price,tamarind  with seed_avg_wholesale_price,tamarind without seed_avg_retail_price,tamarind without seed_avg_wholesale_price,watermelon_avg_retail_price,watermelon_avg_wholesale_price
2013-01-20,,,,,,,,,135.0,11050.0,,,,,16.5,230.0,,,22.5,250.0,,,,,,,,,,,,,,,,,,,27.5,2200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1270.0,,,,,,,,,,,,,,,,,,,,
2013-01-21,,,,,,,,,135.0,11580.0,,,,,16.5,230.0,,,22.5,250.0,,,,,,,,,,,,,,,,,,,27.5,2200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1330.0,,,,,,,,,,,,,,,,,,,,
2013-01-22,,,,,,,,,135.0,11580.0,,,,,16.5,230.0,,,22.5,250.0,,,,,,,,,,,,,,,,,,,27.5,2200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1330.0,,,,,,,,,,,,,,,,,,,,
2013-01-23,6.5,423.0,16.0,865.0,,,,,142.5,12892.0,10.5,198.0,15.5,279.0,13.0,199.0,13.0,236.0,11.0,178.0,,,,,55.0,5250.0,,,7.5,300.0,,,29.5,2617.0,,,,,21.5,2100.0,,,,,,,,,,,,,110.0,16000.0,210.0,16000.0,,,,,,,,,,,,,,,,,,,,,,,55.0,1283.0,,,,,,,,,370.0,21783.0,58.5,5000.0,31.5,3500.0,92.5,7500.0,132.5,12000.0,,
2013-01-24,,,,,,,,,135.0,11700.0,,,,,16.5,230.0,,,22.5,250.0,,,,,,,,,,,,,,,,,,,27.5,2200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1400.0,,,,,,,,,,,,,,,,,,,,
2013-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-27,,,,,,,,,135.0,10000.0,,,,,16.5,230.0,,,22.5,250.0,,,,,,,,,,,,,,,,,,,27.5,2200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1200.0,,,,,,,,,,,,,,,,,,,,
2013-01-28,,,,,,,,,135.0,11050.0,,,,,16.5,230.0,,,22.5,250.0,,,,,,,,,,,,,,,,,,,27.5,2200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1270.0,,,,,,,,,,,,,,,,,,,,
2013-01-29,,,,,,,,,135.0,11050.0,,,,,16.5,230.0,,,22.5,250.0,,,,,,,,,,,,,,,,,,,27.5,2200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1270.0,,,,,,,,,,,,,,,,,,,,
2013-01-30,9.0,386.0,16.0,865.0,,,,,136.0,11893.0,10.0,198.0,16.0,286.0,13.0,202.0,13.0,226.0,11.0,182.0,,,,,58.5,4500.0,,,9.0,297.0,,,29.0,2775.0,,,,,23.0,2050.0,,,,,,,,,,,,,110.0,16000.0,210.0,16000.0,,,,,,,,,,,,,,,,,,,,,,,51.5,1307.0,,,,,,,,,370.0,21783.0,51.5,4250.0,31.5,3500.0,82.5,7500.0,122.5,12000.0,,
2013-01-31,,,,,,,,,135.0,11000.0,,,,,16.5,230.0,,,22.5,250.0,,,,,,,,,,,,,,,,,,,27.5,2200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1250.0,,,,,,,,,,,,,,,,,,,,
2013-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-04,,,,,,,,,135.0,11000.0,,,,,16.5,230.0,,,22.5,250.0,,,,,,,,,,,,,,,,,,,27.5,2200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1250.0,,,,,,,,,,,,,,,,,,,,
2013-02-05,,,,,,,,,135.0,11000.0,,,,,16.5,230.0,,,22.5,250.0,,,,,,,,,,,,,,,,,,,27.5,2200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1250.0,,,,,,,,,,,,,,,,,,,,
2013-02-06,8.0,382.0,16.0,130.0,,,,,138.0,13077.0,9.5,200.0,15.5,283.0,13.0,195.0,12.5,226.0,11.0,196.0,,,,,50.5,4333.0,,,8.0,270.0,,,29.0,2775.0,,,,,23.0,2114.0,,,,,,,,,,,,,110.0,16000.0,210.0,16000.0,,,,,,,,,,,,,,,,,,,,,,,54.5,1307.0,,,,,,,,,350.0,16988.0,51.5,4250.0,31.5,3500.0,75.5,7500.0,119.0,12000.0,,
2013-02-07,,,,,,,,,135.0,11000.0,,,,,16.5,230.0,,,22.5,250.0,,,,,,,,,,,,,,,,,,,27.5,2200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1250.0,,,,,,,,,,,,,,,,,,,,
2013-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-10,,,,,,,,,135.0,10200.0,,,,,16.5,230.0,,,22.5,250.0,,,,,,,,,,,,,,,,,,,27.5,2200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1500.0,,,,,,,,,,,,,,,,,,,,
2013-02-11,,,,,,,,,135.0,10200.0,,,,,16.5,230.0,,,22.5,250.0,,,,,,,,,,,,,,,,,,,27.5,2200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1500.0,,,,,,,,,,,,,,,,,,,,
2013-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-13,6.5,382.0,16.0,130.0,,,,,138.5,13182.0,9.5,188.0,15.5,264.0,13.0,190.0,13.0,234.0,11.0,182.0,,,,,50.5,5260.0,,,8.0,270.0,,,30.0,2771.0,,,,,22.5,2520.0,,,,,,,,,,,,,110.0,16000.0,210.0,16000.0,,,,,,,,,,,,,,,,,,,,,,,56.0,1367.0,,,,,,,,,315.0,17238.0,58.0,,33.5,,72.5,6400.0,116.5,9500.0,,
2013-02-14,,,,,,,,,135.0,11000.0,,,,,16.5,230.0,,,22.5,250.0,,,,,,,,,,,,,,,,,,,27.5,2200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1350.0,,,,,,,,,,,,,,,,,,,,
2013-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-18,,,,,,,,,135.0,13000.0,,,,,16.5,230.0,,,22.5,250.0,,,,,,,,,,,,,,,,,,,27.5,2200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1600.0,,,,,,,,,,,,,,,,,,,,
2013-02-19,,,,,,,,,135.0,13000.0,,,,,16.5,280.0,,,22.5,250.0,,,,,,,,,,,,,,,,,,,27.5,2500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1600.0,,,,,,,,,,,,,,,,,,,,
2013-02-20,7.0,610.0,13.0,130.0,,,,,137.5,12909.0,9.5,190.0,16.0,284.0,13.5,200.0,13.5,250.0,11.5,180.0,,,,,47.5,4900.0,,,9.5,344.0,,,29.5,2700.0,,,,,22.5,2433.0,,,,,,,,,,,,,110.0,16000.0,210.0,16000.0,,,,,,,,,,,,,,,,,,,,,,,59.0,1871.0,,,,,,,,,333.0,22117.0,58.0,,33.5,,61.0,5200.0,104.5,7200.0,,
2013-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-24,,,,,,,,,145.0,13000.0,,,,,16.5,280.0,,,22.5,250.0,,,,,,,,,,,,,,,,,,,27.5,2500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1600.0,,,,,,,,,,,,,,,,,,,,
2013-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-26,,,,,,,,,150.0,13100.0,,,,,22.5,280.0,,,22.5,250.0,,,,,,,,,,,,,,,,,,,30.0,2500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1500.0,,,,,,,,,,,,,,,,,,,,
2013-02-27,7.5,800.0,,130.0,,,,,138.0,12773.0,9.0,160.0,16.0,276.0,14.0,205.0,12.5,230.0,11.0,184.0,,,,,51.0,5167.0,,,8.0,233.0,,,27.5,2683.0,,,,,23.5,2520.0,,,,,,,,,,,,,110.0,16000.0,210.0,16000.0,,,,,,,,,,,,,,,,,,,,,,,56.5,1900.0,,,,,,,,,332.5,16175.0,60.0,,31.5,,52.5,4200.0,104.5,7200.0,,
2013-02-28,,,,,,,,,140.0,13500.0,,,,,18.0,280.0,,,22.5,250.0,,,,,32.5,2500.0,,,7.0,600.0,,,45.0,,,,,,30.0,2500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1600.0,,,,,,,,,,,,,,,,,,,,
2013-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-03,,,,,,,,,155.0,13500.0,,,,,22.5,280.0,,,22.5,250.0,,,,,,,,,,,,,,,,,,,30.0,2500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1600.0,,,,,,,,,,,,,,,,,,,,
2013-03-04,,,,,,,,,155.0,13500.0,,,,,22.5,280.0,,,22.5,250.0,,,,,,,,,,,,,,,,,,,30.0,2500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,1600.0,,,,,,,,,,,,,,,,,,,,
2013-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-06,7.5,498.0,,130.0,,,,,141.0,13125.0,9.5,184.0,16.0,284.0,14.0,194.0,13.0,255.0,11.0,185.0,,,,,50.5,5400.0,,,9.0,334.0,,,29.0,2767.0,,,,,23.5,2338.0,,,,,4.0,,,,,,,,110.0,16000.0,210.0,16000.0,,,,,,,,,,,,,,,,,,,,,,,52.5,1871.0,,,,,,,,,315.0,23088.0,52.0,,38.5,,57.5,4800.0,117.5,9200.0,110.0,9000.0
2013-03-07,,,,,,,,,155.0,,,,,,22.5,,,,22.5,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,
2013-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-12,,,,,,,,,155.0,,,,,,22.5,,,,35.0,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,
2013-03-13,5.5,474.0,,130.0,,,,,141.0,13154.0,10.0,188.0,15.5,279.0,13.5,226.0,13.0,248.0,10.5,183.0,,,,,55.0,5400.0,,,8.5,334.0,,,30.0,2800.0,,,,,25.0,2425.0,,,,,4.0,400.0,,,,,,,110.0,16000.0,210.0,16000.0,,,,,,,,,,,,,,,,,,,,,,,54.0,1871.0,,,,,,,,,318.0,23338.0,52.0,,38.5,,56.5,5000.0,117.5,9200.0,110.0,9000.0
2013-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
