date,egg duck-local_avg_retail_price,egg duck-local_avg_wholesale_price,egg farm-red_avg_retail_price,egg farm-red_avg_wholesale_price,egg farm-white_avg_retail_price,egg farm-white_avg_wholesale_price,egg hen-local_avg_retail_price,egg hen-local_avg_wholesale_price
2013-05-05,38.0,900.0,34.0,750.0,34.0,740.0,39.0,950.0
2013-05-06,37.0,900.0,34.5,750.0,33.5,740.0,39.0,950.0
2013-05-07,38.0,900.0,34.0,750.0,33.0,740.0,39.0,950.0
2013-05-08,37.5,892.0,34.5,825.0,34.5,800.0,38.5,904.0
2013-05-09,37.0,900.0,34.0,750.0,33.0,740.0,39.0,950.0
2013-05-10,,,,,,,,
2013-05-11,,,,,,,,
2013-05-12,37.0,900.0,34.0,750.0,33.0,740.0,39.0,950.0
2013-05-13,36.5,900.0,34.0,750.0,32.5,740.0,38.0,950.0
2013-05-14,36.5,900.0,34.0,750.0,32.5,740.0,38.0,950.0
2013-05-15,36.5,856.0,34.5,816.0,34.0,794.0,37.5,896.0
2013-05-16,,,,,,,,
2013-05-17,,,,,,,,
2013-05-18,,,,,,,,
2013-05-19,,,,,,,,
2013-05-20,,,,,,,,
2013-05-21,33.5,730.0,32.5,720.0,32.5,720.0,38.0,950.0
2013-05-22,36.0,823.0,34.0,797.0,33.5,763.0,38.5,917.0
2013-05-23,,,,,,,,
2013-05-24,,,,,,,,
2013-05-25,,,,,,,,
2013-05-26,33.5,730.0,32.0,720.0,32.0,720.0,38.0,950.0
2013-05-27,,,,,,,,
2013-05-28,,,,,,,,
2013-05-29,38.5,888.0,34.0,798.0,34.5,778.0,39.5,928.0
2013-05-30,,,,,,,,
2013-05-31,,,,,,,,
2013-06-01,,,,,,,,
2013-06-02,32.0,720.0,416.5,778.0,31.0,720.0,38.5,850.0
2013-06-03,32.0,720.0,289.0,778.0,32.5,720.0,37.5,850.0
2013-06-04,32.0,720.0,289.0,778.0,32.5,720.0,37.5,850.0
2013-06-05,36.5,699.0,76.0,750.0,32.5,688.0,38.5,810.0
2013-06-06,34.0,780.0,142.0,769.0,31.0,720.0,39.0,890.0
2013-06-07,,,,,,,,
2013-06-08,,,,,,,,
2013-06-09,32.0,710.0,32.5,763.0,33.0,752.0,38.5,875.0
2013-06-10,31.5,710.0,141.5,757.0,32.5,752.0,37.5,875.0
2013-06-11,30.0,700.0,143.0,773.0,35.5,777.0,,900.0
2013-06-12,35.5,726.0,62.0,744.0,32.5,709.0,37.0,802.0
2013-06-13,31.0,710.0,143.0,787.0,33.5,769.0,37.5,875.0
2013-06-14,,,,,,,,
2013-06-15,,,,,,,,
2013-06-16,30.0,685.0,32.5,773.0,33.5,769.0,37.0,857.0
2013-06-17,29.0,650.0,33.5,783.0,32.5,780.0,,900.0
2013-06-18,30.0,700.0,33.5,787.0,32.5,780.0,,900.0
2013-06-19,35.5,802.0,32.0,749.0,31.5,753.0,37.0,877.0
2013-06-20,30.0,690.0,31.5,744.0,35.5,865.0,38.0,900.0
2013-06-21,,,,,,,,
2013-06-22,,,,,,,,
2013-06-23,29.0,640.0,32.5,734.0,35.0,838.0,38.0,875.0
2013-06-24,29.5,667.0,31.5,736.0,32.0,798.0,38.0,867.0
2013-06-25,,,,,,,,
2013-06-26,34.5,788.0,53.0,730.0,75.5,741.0,36.5,860.0
2013-06-27,29.0,657.0,31.5,734.0,33.0,798.0,38.5,867.0
2013-06-28,,,,,,,,
2013-06-29,,,,,,,,
2013-06-30,29.0,657.0,32.0,743.0,33.0,798.0,38.5,867.0
2013-07-01,29.5,677.0,32.0,736.0,33.0,785.0,38.0,867.0
2013-07-02,31.5,725.0,32.0,736.0,32.5,750.0,37.0,842.0
2013-07-03,34.5,805.0,31.0,728.0,30.5,718.0,36.0,858.0
2013-07-04,33.0,765.0,32.5,753.0,34.5,800.0,36.0,863.0
2013-07-05,,,,,,,,
2013-07-06,,,,,,,,
2013-07-07,32.5,743.0,33.0,788.0,32.5,747.0,37.0,858.0
2013-07-08,32.5,743.0,34.0,790.0,33.5,747.0,37.5,858.0
2013-07-09,34.0,792.0,34.5,791.0,33.5,747.0,38.5,850.0
2013-07-10,36.5,842.0,34.0,807.0,33.5,793.0,37.5,872.0
2013-07-11,34.5,792.0,34.5,795.0,33.5,747.0,38.5,850.0
2013-07-12,,,,,,,,
2013-07-13,,,,,,,,
2013-07-14,34.5,792.0,34.5,797.0,33.5,747.0,39.5,867.0
2013-07-15,35.0,792.0,34.5,801.0,33.5,747.0,39.5,900.0
2013-07-16,35.5,792.0,34.5,800.0,33.5,760.0,39.5,900.0
2013-07-17,36.5,843.0,34.0,781.0,33.0,768.0,38.0,884.0
2013-07-18,35.5,792.0,33.5,781.0,33.0,738.0,38.5,881.0
2013-07-19,,,,,,,,
2013-07-20,,,,,,,,
2013-07-21,33.0,763.0,33.5,767.0,32.5,735.0,38.5,892.0
2013-07-22,33.0,763.0,33.5,759.0,33.5,727.0,38.5,892.0
2013-07-23,34.5,775.0,32.5,743.0,32.5,726.0,38.5,881.0
2013-07-24,36.5,825.0,32.5,754.0,31.5,751.0,38.0,878.0
2013-07-25,35.5,783.0,32.5,737.0,32.0,726.0,38.5,867.0
2013-07-26,,,,,,,,
2013-07-27,,,,,,,,
2013-07-28,34.5,787.0,31.5,734.0,31.5,722.0,38.5,877.0
2013-07-29,34.5,803.0,31.5,738.0,31.5,722.0,38.5,877.0
2013-07-30,35.5,833.0,32.0,740.0,31.5,722.0,38.5,877.0
2013-07-31,36.5,838.0,31.5,731.0,30.5,724.0,37.5,867.0
2013-08-01,35.5,833.0,31.5,728.0,31.5,715.0,38.5,873.0
2013-08-02,,,,,,,,
2013-08-03,,,,,,,,
2013-08-04,35.5,833.0,31.5,729.0,31.5,715.0,38.5,873.0
2013-08-05,35.5,833.0,32.0,731.0,31.5,712.0,38.5,885.0
2013-08-06,,,33.0,730.0,,,,
2013-08-07,36.5,835.0,32.0,749.0,31.5,735.0,37.5,869.0
2013-08-08,,,,,,,,
2013-08-09,,,,,,,,
2013-08-10,,,,,,,,
2013-08-11,37.5,883.0,32.0,735.0,31.5,719.0,38.5,881.0
2013-08-12,37.5,883.0,32.0,733.0,31.5,715.0,38.5,881.0
2013-08-13,38.5,933.0,32.0,737.0,31.5,718.0,39.5,906.0
2013-08-14,37.5,865.0,31.5,748.0,31.5,738.0,37.5,877.0
2013-08-15,,,,,,,,
2013-08-16,,,,,,,,
2013-08-17,,,,,,,,
2013-08-18,38.5,950.0,32.5,760.0,33.5,766.0,42.5,1000.0
2013-08-19,37.5,950.0,33.5,772.0,33.0,772.0,42.0,975.0
2013-08-20,38.5,933.0,32.5,762.0,32.5,752.0,42.0,975.0
2013-08-21,36.5,843.0,32.5,767.0,32.5,764.0,38.5,899.0
2013-08-22,39.0,950.0,32.5,767.0,32.5,760.0,42.0,988.0
2013-08-23,,,,,,,,
2013-08-24,,,,,,,,
2013-08-25,38.5,950.0,32.5,770.0,33.5,777.0,42.0,1000.0
2013-08-26,37.0,900.0,33.5,1511.0,34.0,789.0,41.0,950.0
2013-08-27,37.5,900.0,32.5,1368.0,33.0,767.0,42.0,975.0
2013-08-28,37.5,825.0,32.0,744.0,32.5,750.0,37.5,864.0
2013-08-29,37.0,877.0,32.5,765.0,32.5,742.0,39.0,934.0
2013-08-30,,,,,,,,
2013-08-31,,,,,,,,
2013-09-01,38.5,883.0,32.5,1316.0,32.5,746.0,41.0,970.0
2013-09-02,38.5,900.0,32.5,1322.0,32.5,769.0,40.0,950.0
2013-09-03,37.5,910.0,32.5,767.0,33.0,765.0,40.5,938.0
2013-09-04,37.0,847.0,32.5,766.0,32.5,755.0,38.0,906.0
2013-09-05,38.5,940.0,33.0,760.0,32.5,761.0,40.0,970.0
2013-09-06,,,,,,,,
2013-09-07,,,,,,,,
2013-09-08,38.5,950.0,32.5,765.0,32.5,782.0,40.0,988.0
2013-09-09,38.0,933.0,32.5,768.0,32.5,777.0,40.5,978.0
2013-09-10,37.5,900.0,32.5,774.0,32.5,789.0,40.0,983.0
2013-09-11,37.5,858.0,32.5,764.0,32.5,765.0,37.5,904.0
2013-09-12,37.5,900.0,32.5,772.0,32.5,789.0,40.0,983.0
2013-09-13,,,,,,,,
2013-09-14,,,,,,,,
2013-09-15,37.5,900.0,32.5,766.0,32.5,777.0,40.0,983.0
2013-09-16,38.0,917.0,32.5,763.0,32.5,767.0,40.0,978.0
2013-09-17,38.0,923.0,32.5,768.0,32.5,775.0,40.5,978.0
2013-09-18,37.0,847.0,32.0,760.0,32.0,758.0,37.5,898.0
2013-09-19,38.5,923.0,32.5,762.0,32.5,767.0,40.5,978.0
2013-09-20,,,,,,,,
2013-09-21,,,,,,,,
2013-09-22,38.0,918.0,32.5,756.0,32.5,755.0,40.5,980.0
2013-09-23,38.0,918.0,32.5,755.0,32.5,753.0,40.0,975.0
2013-09-24,38.0,918.0,32.5,755.0,32.0,748.0,41.5,1033.0
2013-09-25,37.0,845.0,32.0,751.0,32.0,747.0,38.0,895.0
2013-09-26,37.5,900.0,32.5,753.0,32.0,748.0,40.5,950.0
2013-09-27,,,,,,,,
2013-09-28,,,,,,,,
2013-09-29,37.5,900.0,32.5,753.0,32.5,752.0,40.5,950.0
2013-09-30,37.5,900.0,32.5,752.0,32.5,748.0,40.5,950.0
2013-10-01,37.5,900.0,32.5,752.0,32.5,748.0,40.5,950.0
2013-10-02,36.5,817.0,31.5,729.0,30.5,724.0,37.5,865.0
2013-10-03,36.5,880.0,32.0,745.0,32.5,748.0,40.0,930.0
2013-10-04,,,,,,,,
2013-10-05,,,,,,,,
2013-10-06,37.5,903.0,31.5,731.0,31.5,737.0,40.0,935.0
2013-10-07,36.5,880.0,31.5,732.0,31.5,742.0,40.0,930.0
2013-10-08,36.0,855.0,31.5,727.0,31.5,731.0,39.5,913.0
2013-10-09,36.5,802.0,30.5,708.0,29.5,703.0,37.0,859.0
2013-10-10,34.0,825.0,30.5,706.0,30.5,706.0,43.0,978.0
2013-10-11,,,,,,,,
2013-10-12,,,,,,,,
2013-10-13,36.5,826.0,30.5,709.0,30.0,691.0,37.5,863.0
2013-10-14,,,,,,,,
2013-10-15,,,,,,,,
2013-10-16,29.0,700.0,30.0,700.0,,730.0,35.0,850.0
2013-10-17,,,,,,,,
2013-10-18,,,,,,,,
2013-10-19,,,,,,,,
2013-10-20,34.0,807.0,30.0,683.0,29.5,672.0,36.5,853.0
2013-10-21,34.5,830.0,30.0,688.0,31.0,682.0,37.5,870.0
2013-10-22,35.5,860.0,30.0,701.0,30.0,687.0,38.0,897.0
2013-10-23,35.5,793.0,30.0,694.0,29.5,683.0,36.5,851.0
2013-10-24,34.5,810.0,29.5,686.0,31.0,681.0,38.0,897.0
2013-10-25,,,,,,,,
2013-10-26,,,,,,,,
2013-10-27,35.0,817.0,29.5,678.0,31.0,685.0,40.5,975.0
2013-10-28,34.5,817.0,29.5,681.0,30.5,689.0,40.5,975.0
2013-10-29,33.5,765.0,30.0,688.0,31.5,694.0,37.5,870.0
2013-10-30,35.5,772.0,29.5,687.0,29.5,679.0,37.5,856.0
2013-10-31,33.5,765.0,29.5,683.0,31.0,687.0,37.5,870.0
2013-11-01,,,,,,,,
2013-11-02,,,,,,,,
2013-11-03,33.5,765.0,29.5,671.0,30.5,701.0,37.5,870.0
2013-11-04,33.5,765.0,29.5,673.0,30.5,701.0,37.5,870.0
2013-11-05,33.5,770.0,29.0,662.0,30.0,677.0,37.5,870.0
2013-11-06,35.5,776.0,28.5,656.0,28.5,651.0,37.5,851.0
2013-11-07,36.5,848.0,28.5,674.0,29.5,691.0,40.5,975.0
2013-11-08,,,,,,,,
2013-11-09,,,,,,,,
2013-11-10,35.5,823.0,28.5,661.0,29.5,684.0,38.5,880.0
2013-11-11,35.5,843.0,29.5,663.0,30.0,677.0,38.5,898.0
2013-11-12,36.5,843.0,28.5,667.0,29.5,665.0,40.5,950.0
2013-11-13,35.5,807.0,28.5,661.0,28.5,661.0,37.0,871.0
2013-11-14,35.5,845.0,29.0,666.0,29.5,678.0,38.5,898.0
2013-11-15,,,,,,,,
2013-11-16,,,,,,,,
2013-11-17,35.5,827.0,29.5,682.0,30.0,686.0,39.5,905.0
2013-11-18,36.5,845.0,29.5,682.0,29.5,675.0,41.5,975.0
2013-11-19,36.5,845.0,29.0,681.0,29.5,678.0,41.5,975.0
2013-11-20,35.5,808.0,28.5,662.0,28.5,664.0,37.0,855.0
2013-11-21,35.5,845.0,29.0,677.0,29.5,677.0,43.0,975.0
2013-11-22,,,,,,,,
2013-11-23,,,,,,,,
2013-11-24,35.5,827.0,28.5,670.0,29.5,668.0,40.0,925.0
2013-11-25,35.5,827.0,28.5,670.0,29.5,668.0,40.0,925.0
2013-11-26,36.5,870.0,28.5,658.0,29.5,673.0,40.5,938.0
2013-11-27,36.5,805.0,53.0,655.0,72.0,656.0,37.5,830.0
2013-11-28,36.5,863.0,28.5,656.0,29.0,664.0,41.5,1006.0
2013-11-29,,,,,,,,
2013-11-30,,,,,,,,
2013-12-01,35.5,853.0,28.5,659.0,29.5,668.0,41.5,1025.0
2013-12-02,36.0,863.0,28.5,660.0,29.5,670.0,42.5,1025.0
2013-12-03,36.0,872.0,28.5,661.0,29.5,670.0,43.5,1050.0
2013-12-04,36.5,817.0,28.5,664.0,28.5,670.0,38.0,891.0
2013-12-05,37.5,884.0,28.5,665.0,29.5,668.0,44.5,1100.0
2013-12-06,,,,,,,,
2013-12-07,,,,,,,,
2013-12-08,37.0,865.0,28.5,667.0,28.5,661.0,41.5,1018.0
2013-12-09,36.5,853.0,28.5,671.0,28.5,665.0,41.5,1018.0
2013-12-10,36.5,845.0,29.5,674.0,28.5,670.0,42.5,1018.0
2013-12-11,36.0,808.0,28.5,671.0,28.5,673.0,38.5,888.0
2013-12-12,35.5,845.0,29.0,672.0,28.5,669.0,42.0,1018.0
2013-12-13,,,,,,,,
2013-12-14,,,,,,,,
2013-12-15,35.5,823.0,29.5,693.0,30.0,685.0,42.0,1030.0
2013-12-16,,,,,,,,
2013-12-17,35.5,840.0,29.5,675.0,30.5,680.0,41.0,1075.0
2013-12-18,36.5,822.0,29.0,678.0,29.0,682.0,38.0,886.0
2013-12-19,36.5,821.0,28.5,642.0,28.5,608.0,40.5,953.0
2013-12-20,,,,,,,,
2013-12-21,,,,,,,,
2013-12-22,36.0,797.0,29.0,649.0,28.5,612.0,40.0,949.0
2013-12-23,36.0,779.0,29.0,686.0,28.5,668.0,40.0,949.0
2013-12-24,35.0,771.0,28.5,652.0,29.0,668.0,39.0,942.0
2013-12-25,36.0,814.0,28.0,640.0,27.5,660.0,36.0,834.0
2013-12-26,36.0,800.0,28.5,676.0,28.5,669.0,39.5,924.0
2013-12-27,,,,,,,,
2013-12-28,,,,,,,,
2013-12-29,34.5,757.0,28.5,648.0,28.5,667.0,39.5,932.0
2013-12-30,34.5,758.0,28.5,638.0,28.5,663.0,39.5,934.0
2013-12-31,36.0,776.0,28.5,640.0,28.5,662.0,39.0,909.0
2014-01-01,35.5,811.0,28.0,643.0,28.5,660.0,38.0,1023.0
2014-01-02,34.5,776.0,28.5,665.0,28.5,658.0,39.5,1187.0
2014-01-03,,,,,,,,
2014-01-04,34.5,775.0,34.0,775.0,,,,
2014-01-05,36.5,853.0,29.5,696.0,29.5,695.0,41.0,1000.0
2014-01-06,35.0,787.0,28.0,634.0,28.5,654.0,39.5,1172.0
2014-01-07,35.5,794.0,47.0,635.0,28.5,654.0,39.5,1170.0
2014-01-08,35.5,810.0,28.0,644.0,28.0,648.0,38.0,898.0
2014-01-09,35.5,793.0,28.5,651.0,28.5,650.0,40.0,922.0
2014-01-10,,,,,,,,
2014-01-11,,,,,,,,
2014-01-12,35.5,806.0,28.0,647.0,28.5,647.0,40.5,932.0
2014-01-13,35.5,809.0,28.5,652.0,28.5,652.0,40.5,929.0
2014-01-14,,,,,,,,
2014-01-15,35.5,805.0,28.5,650.0,28.0,647.0,38.0,898.0
2014-01-16,36.0,807.0,28.5,662.0,28.0,651.0,40.0,942.0
2014-01-17,,,,,,,,
2014-01-18,,,,,,,,
2014-01-19,35.5,800.0,28.5,662.0,28.5,654.0,40.5,944.0
2014-01-20,35.5,785.0,28.5,665.0,28.5,657.0,40.0,939.0
2014-01-21,35.5,810.0,28.5,673.0,28.5,659.0,40.0,942.0
2014-01-22,36.0,826.0,29.0,668.0,28.5,663.0,39.0,915.0
2014-01-23,37.0,826.0,29.0,679.0,28.5,658.0,40.0,956.0
2014-01-24,,,,,,,,
2014-01-25,30.0,720.0,336.5,635.0,625.0,630.0,,
2014-01-26,37.5,838.0,29.5,679.0,28.5,662.0,41.0,964.0
2014-01-27,37.5,843.0,29.5,683.0,28.5,665.0,41.0,963.0
2014-01-28,37.5,845.0,29.5,680.0,28.5,664.0,41.0,962.0
2014-01-29,37.0,848.0,28.5,671.0,28.5,668.0,39.0,916.0
2014-01-30,38.0,874.0,29.5,678.0,28.5,662.0,40.5,956.0
2014-01-31,,,,,,,,
2014-02-01,,,,,,,,
2014-02-02,37.0,858.0,29.5,675.0,29.0,665.0,39.5,961.0
2014-02-03,37.5,868.0,29.5,675.0,29.0,666.0,40.5,961.0
2014-02-04,37.5,863.0,29.5,675.0,29.0,662.0,40.5,957.0
2014-02-05,37.0,866.0,28.5,669.0,28.5,663.0,39.0,926.0
2014-02-06,37.5,870.0,29.0,676.0,28.5,666.0,41.5,974.0
2014-02-07,,,,,,,,
2014-02-08,,,,,,,,
2014-02-09,38.0,881.0,28.5,669.0,28.5,664.0,41.0,978.0
2014-02-10,38.0,881.0,29.0,672.0,28.5,664.0,41.0,974.0
2014-02-11,38.0,877.0,29.0,675.0,28.5,667.0,40.0,970.0
2014-02-12,37.5,847.0,28.5,672.0,28.5,670.0,39.0,926.0
2014-02-13,37.5,865.0,29.5,677.0,28.5,666.0,40.0,967.0
2014-02-14,,,,,,,,
2014-02-15,,,,,,,,
2014-02-16,38.0,879.0,29.5,687.0,29.0,682.0,40.5,975.0
2014-02-17,38.5,886.0,29.5,693.0,29.0,683.0,40.5,979.0
2014-02-18,38.5,886.0,30.0,696.0,29.0,686.0,41.0,975.0
2014-02-19,37.5,869.0,30.0,696.0,29.5,689.0,39.5,948.0
2014-02-20,38.5,884.0,30.0,695.0,29.5,684.0,41.0,1000.0
2014-02-21,,,,,,,,
2014-02-22,,,,,,,,
2014-02-23,38.5,884.0,30.5,699.0,29.5,687.0,41.0,988.0
2014-02-24,38.5,884.0,30.5,700.0,30.0,683.0,41.0,983.0
2014-02-25,38.5,887.0,30.5,702.0,30.0,689.0,41.0,983.0
2014-02-26,37.5,862.0,30.5,699.0,30.0,696.0,40.0,949.0
2014-02-27,38.0,880.0,30.5,711.0,30.0,698.0,41.0,972.0
2014-02-28,,,,,,,,
2014-03-01,,,,,,,,
2014-03-02,38.0,874.0,30.5,710.0,30.0,698.0,40.5,979.0
2014-03-03,38.0,903.0,30.5,705.0,30.0,684.0,41.0,976.0
2014-03-04,37.5,891.0,30.5,935.0,30.0,692.0,40.5,965.0
2014-03-05,36.5,837.0,30.0,854.0,29.5,688.0,39.0,929.0
2014-03-06,37.5,889.0,30.5,960.0,30.0,701.0,40.5,980.0
2014-03-07,,,29.5,680.0,29.0,680.0,,
2014-03-08,,,,,,,,
2014-03-09,37.5,876.0,30.5,945.0,30.0,700.0,41.0,982.0
2014-03-10,37.0,871.0,30.5,960.0,30.0,700.0,40.5,961.0
2014-03-11,37.0,872.0,34.0,933.0,29.5,694.0,40.5,964.0
2014-03-12,36.5,833.0,32.5,872.0,29.5,686.0,40.0,949.0
2014-03-13,36.5,844.0,34.5,941.0,29.5,703.0,40.5,964.0
2014-03-14,,,,,,,,
2014-03-15,39.0,,29.5,,28.5,,,
2014-03-16,36.5,843.0,29.5,923.0,29.5,689.0,41.0,970.0
2014-03-17,,,29.0,650.0,,,,
2014-03-18,36.5,855.0,29.5,906.0,29.5,690.0,41.0,976.0
2014-03-19,35.5,805.0,29.5,831.0,29.0,675.0,39.0,925.0
2014-03-20,36.0,824.0,29.5,866.0,29.0,685.0,39.5,944.0
2014-03-21,,,,,,,,
2014-03-22,,,,,,,,
2014-03-23,,,,,,,,
2014-03-24,,,,,,,,
2014-03-25,,,,,,,,
2014-03-26,,,,,,,,
2014-03-27,34.0,783.0,28.0,792.0,28.0,642.0,39.0,899.0
2014-03-28,,,,,,,,
2014-03-29,,,,,,,,
2014-03-30,33.5,766.0,27.5,775.0,27.5,631.0,38.0,880.0
2014-03-31,33.5,765.0,27.5,803.0,27.5,629.0,37.5,854.0
2014-04-01,33.5,752.0,27.0,758.0,27.0,618.0,38.0,860.0
2014-04-02,33.0,764.0,26.5,735.0,26.5,607.0,38.0,846.0
