date,chemical fertilizer - d. a. p_avg_retail_price,chemical fertilizer - d. a. p_avg_wholesale_price,chemical fertilizer - gypsum (imported)_avg_retail_price,chemical fertilizer - gypsum (imported)_avg_wholesale_price,chemical fertilizer - gypsum (local)_avg_retail_price,chemical fertilizer - gypsum (local)_avg_wholesale_price,chemical fertilizer - m. p (imported) - china_avg_retail_price,chemical fertilizer - m. p (imported) - china_avg_wholesale_price,chemical fertilizer - m. p (imported) - russia_avg_retail_price,chemical fertilizer - m. p (imported) - russia_avg_wholesale_price,chemical fertilizer - s. s. p (imported) - crystal_avg_retail_price,chemical fertilizer - s. s. p (imported) - crystal_avg_wholesale_price,chemical fertilizer - s. s. p (imported) - powder_avg_retail_price,chemical fertilizer - s. s. p (imported) - powder_avg_wholesale_price,chemical fertilizer - s. s. p (local) - powder_avg_retail_price,chemical fertilizer - s. s. p (local) - powder_avg_wholesale_price,chemical fertilizer - t. s. p. (imported)_avg_retail_price,chemical fertilizer - t. s. p. (imported)_avg_wholesale_price,chemical fertilizer - t. s. p. (local)_avg_retail_price,chemical fertilizer - t. s. p. (local)_avg_wholesale_price,chemical fertilizer - urea (ghorashal)_avg_retail_price,chemical fertilizer - urea (ghorashal)_avg_wholesale_price,chemical fertilizer - urea (jamuna)_avg_retail_price,chemical fertilizer - urea (jamuna)_avg_wholesale_price,chemical fertilizer - urea (kafco)_avg_retail_price,chemical fertilizer - urea (kafco)_avg_wholesale_price,chemical fertilizer - urea (zia)_avg_retail_price,chemical fertilizer - urea (zia)_avg_wholesale_price,chemical fertilizer - zinc (imported)_avg_retail_price,chemical fertilizer - zinc (imported)_avg_wholesale_price,chemical fertilizer - zinc (local)_avg_retail_price,chemical fertilizer - zinc (local)_avg_wholesale_price,compost manure - cow dung_avg_retail_price,compost manure - cow dung_avg_wholesale_price
2013-05-02,28.0,1379.0,7.5,,7.5,301.0,15.5,739.0,,,,,,,,,22.5,1073.0,23.5,1110.0,,973.0,20.5,974.0,20.0,975.0,20.0,985.0,,,,,,
2013-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-08,27.0,1355.0,12.5,250.0,7.5,282.0,15.5,731.0,,,,1100.0,,,,,22.5,1092.0,23.0,1093.0,,978.0,20.5,977.0,20.0,987.0,20.0,987.0,137.5,16000.0,,,,
2013-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-15,27.5,1345.0,12.5,250.0,8.0,299.0,15.5,728.0,,750.0,,1100.0,,,,,22.5,1105.0,22.5,1062.0,20.0,979.0,20.5,981.0,20.5,985.0,20.0,983.0,137.5,16000.0,,,,
2013-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-22,27.5,1351.0,12.5,250.0,7.0,275.0,15.0,730.0,15.0,750.0,,1100.0,,,,,23.0,1111.0,22.0,1053.0,20.0,974.0,20.5,978.0,20.5,983.0,20.0,983.0,137.5,16000.0,,,,
2013-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-29,27.0,1346.0,12.5,,7.5,275.0,15.0,728.0,,,,1100.0,,,,,22.5,1068.0,22.5,1070.0,20.0,978.0,20.5,980.0,20.5,985.0,20.0,1000.0,137.5,,,,,
2013-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-05,27.0,1335.0,7.5,250.0,7.0,275.0,15.5,733.0,15.0,733.0,,1100.0,,,,,22.5,1084.0,22.5,1070.0,20.0,978.0,20.5,973.0,20.5,981.0,20.0,984.0,135.0,16000.0,,250.0,,
2013-06-06,27.0,1270.0,24.0,,,310.0,15.0,730.0,,750.0,,,,,,,22.0,1097.0,,,,965.0,20.0,1000.0,20.0,990.0,,,140.0,,,,,
2013-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-09,,1325.0,,,,350.0,,,,750.0,,,,,,,,1125.0,,,,965.0,,,,,,,,,,,,
2013-06-10,,1350.0,,,,,,,,750.0,,,,,,,,1100.0,,,,970.0,,,,,,,,,,,,
2013-06-11,,1350.0,,,,,,,,750.0,,,,,,,,1100.0,,,,970.0,,,,,,,,,,,,
2013-06-12,27.0,1349.0,12.5,250.0,7.0,296.0,15.0,733.0,15.0,735.0,,1100.0,,,,,21.5,1082.0,22.5,1072.0,20.0,978.0,20.0,981.0,20.5,982.0,20.0,990.0,137.5,16000.0,,250.0,,
2013-06-13,,1350.0,,,,,,,,750.0,,,,,,,,1100.0,,,,970.0,,,,,,,,,,,,
2013-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-16,,1350.0,,,,,,,,750.0,,,,,,,,1100.0,,,,970.0,,,,,,,,,,,,
2013-06-17,,1350.0,,,,,,,,750.0,,,,,,,,1100.0,,,,970.0,,,,,,,,,,,,
2013-06-18,,1350.0,,,,,,,,750.0,,,,,,,,1100.0,,,,970.0,,,,,,,,,,,,
2013-06-19,27.5,1320.0,12.5,250.0,7.5,302.0,15.5,729.0,15.0,838.0,,1100.0,,,,,22.0,1070.0,22.5,1060.0,20.0,975.0,20.5,982.0,20.5,982.0,20.0,982.0,137.5,16000.0,,250.0,,
2013-06-20,,1350.0,,,,,,,,750.0,,,,,,,,1100.0,,,,970.0,,,,,,,,,,,,
2013-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-23,,1350.0,,,,,,,,750.0,,,,,,,,1100.0,,,,970.0,,,,,,,,,,,,
2013-06-24,,1350.0,,,,,,,,750.0,,,,,,,,1100.0,,,,970.0,,,,,,,,,,,,
2013-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-26,27.0,1325.0,12.5,250.0,7.0,302.0,15.5,728.0,15.0,719.0,,1100.0,,,,,22.5,1079.0,22.5,1081.0,20.0,975.0,20.5,1001.0,20.0,981.0,20.0,990.0,140.0,16000.0,,250.0,,
2013-06-27,,1350.0,,,,,,,,750.0,,,,,,,,1100.0,,,,970.0,,,,,,,,,,,,
2013-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,,1350.0,,,,,,,,750.0,,,,,,,,1100.0,,,,970.0,,,,,,,,,,,,
2013-07-01,,1350.0,,,,,,,,750.0,,,,,,,,1100.0,,,,970.0,,,,,,,,,,,,
2013-07-02,,1350.0,,,,,,,,750.0,,,,,,,,1100.0,,,,970.0,,,,,,,,,,,,
2013-07-03,27.0,1334.0,16.0,250.0,7.0,302.0,15.5,732.0,15.0,721.0,,1100.0,,,,,22.5,1093.0,22.5,1066.0,20.0,975.0,20.0,984.0,20.0,982.0,20.0,982.0,145.0,8095.0,,250.0,,
2013-07-04,,1350.0,,,,,,,,750.0,,,,,,,,1100.0,,,,970.0,,,,,,,,,,,,
2013-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-07,,1350.0,,,,,,,,750.0,,,,,,,,1100.0,,,,970.0,,,,,,,,,,,,
2013-07-08,,1350.0,,,,,,,,750.0,,,,,,,,,,,,970.0,,,,,,,,,,,,
2013-07-09,,1350.0,,,,,,,,750.0,,,,,,,,1100.0,,,,970.0,,,,,,,,,,,,
2013-07-10,26.5,1331.0,16.0,250.0,7.0,293.0,15.0,725.0,15.0,723.0,,1100.0,,,,,22.0,1079.0,22.0,1088.0,20.0,975.0,20.0,1001.0,20.0,979.0,20.0,980.0,145.0,16000.0,,250.0,,
2013-07-11,,1340.0,,,,270.0,,740.0,,750.0,,,,,,,,1100.0,,,,970.0,,1000.0,,,,,,,,,,
2013-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-14,,1350.0,,,,,,,,750.0,,,,,,,,1100.0,,,,970.0,,,,,,,,,,,,
2013-07-15,,1350.0,,,,,,,,750.0,,,,,,,,1100.0,,,,970.0,,,,,,,,,,,,
2013-07-16,,1350.0,,,,,,,,750.0,,,,,,,,1100.0,,,,970.0,,,,,,,,,,,,
2013-07-17,27.5,1336.0,16.0,250.0,7.5,302.0,15.5,736.0,15.0,729.0,,1100.0,,,,,22.5,1092.0,22.5,1066.0,20.0,975.0,20.0,982.0,20.0,979.0,20.0,982.0,145.0,16000.0,,250.0,,
2013-07-18,,1350.0,,,,,,,,750.0,,,,,,,,1100.0,,,,970.0,,,,,,,,,,,,
2013-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-21,,1350.0,,,,,,,,750.0,,,,,,,,1100.0,,,,970.0,,,,,,,,,,,,
2013-07-22,,1340.0,,,,270.0,,740.0,,750.0,,,,,,,,1090.0,,,,970.0,,1000.0,,,,,,,,,,
2013-07-23,,1350.0,,,,,,,,750.0,,,,,,,,1100.0,,,,970.0,,,,,,,,,,,,
2013-07-24,27.5,1335.0,16.0,250.0,7.0,302.0,15.5,730.0,15.0,723.0,,1100.0,,,,,22.0,1080.0,22.5,1084.0,20.5,975.0,20.5,998.0,20.0,981.0,58.5,984.0,145.0,8095.0,,250.0,,
2013-07-25,,1350.0,,,,,,,,750.0,,,,,,,,1100.0,,,,970.0,,,,,,,,,,,,
2013-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-28,,1350.0,,,,,,,,750.0,,,,,,,,1100.0,,,,970.0,,,,,,,,,,,,
2013-07-29,,1350.0,,,,,,,,750.0,,,,,,,,1100.0,,,,970.0,,,,,,,,,,,,
2013-07-30,27.0,1350.0,,,12.5,200.0,,,15.0,750.0,,,,,,,22.0,1100.0,,,,,,,,,20.0,,190.0,8510.0,,,,
2013-07-31,27.5,1337.0,16.0,250.0,8.5,280.0,15.5,732.0,15.0,734.0,,1100.0,,,,,22.0,1084.0,22.5,1077.0,20.5,976.0,20.5,981.0,20.0,985.0,49.0,983.0,167.5,8233.0,,250.0,,
2013-08-01,27.0,1340.0,,,12.5,235.0,,740.0,15.0,750.0,,,,,,,22.0,1090.0,,,,,,1000.0,,,20.0,,190.0,8510.0,,,,
2013-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-04,27.0,1350.0,,,12.5,200.0,,,15.0,750.0,,,,,,,22.0,1100.0,,,,,,,,,20.0,,190.0,8510.0,,,,
2013-08-05,27.0,1350.0,,,12.5,200.0,,,15.0,750.0,,,,,,,22.0,1100.0,,,,,,,,,20.0,,190.0,8510.0,,,,
2013-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-07,27.5,1339.0,16.0,250.0,8.5,292.0,15.5,733.0,15.0,734.0,,1100.0,,,,,22.0,1082.0,22.5,1077.0,20.5,976.0,20.5,984.0,20.0,983.0,49.0,984.0,167.5,8233.0,,250.0,,
2013-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
